Computing M_k(n) for 0 <= n <= 1000 ...
    n |      type |                L4(n) | status
  701 |     prime |                    0 | OK
  702 | composite | -7489811209963148277120 | OK
  703 | composite |   -59973128735063040 | OK
  704 | composite | -6894679010900727062016 | OK
  705 | composite | -1040172406433869363200 | OK
  706 | composite | -6831382326865301441280 | OK
  707 | composite | -6960315965213721600 | OK
  708 | composite | -8248183973759187803520 | OK
  709 |     prime |                    0 | OK
  710 | composite | -7215596999899780867200 | OK
  711 | composite | -1048009014755701770240 | OK
  712 | composite | -7552967452433223256800 | OK
  713 | composite |  -178573277224488960 | OK
  714 | composite | -8594852674008841454592 | OK
  715 | composite | -69493721048085734400 | OK
  716 | composite | -7899626286890587265760 | OK
  717 | composite | -1121795373201553290240 | OK
  718 | composite | -7825003889415309011520 | OK
  719 |     prime |                    0 | OK
  720 | composite | -9524269814360449032000 | OK
  721 | composite | -8365863925429570560 | OK
